strategy_name,snippet_ID,model_raw_response,parsed_response,company,role,years_experience_required
structured_prompt,j03,"{
  ""company"": ""Globex International"",
  ""role"": ""Product Manager - Growth"",
  ""years_experience_required"": 4
}","{""company"": ""Globex International"", ""role"": ""Product Manager - Growth"", ""years_experience_required"": 4}",Globex International,Product Manager - Growth,4
cot_prompt,j03,"To extract the required information from the job posting:

1. Identify the company: The job posting starts with ""Globex International,"" which is the company name.
2. Determine the role: The role is specified as ""Product Manager - Growth.""
3. Find the years of experience required: The posting states ""at least 4 years of product management experience,"" indicating the minimum years of experience required are 4.

Now, we can compile this information into the requested JSON format:

```json
{
  ""company"": ""Globex International"",
  ""role"": ""Product Manager - Growth"",
  ""years_experience_required"": 4,
  ""reasoning"": ""The company name is mentioned at the beginning of the posting. The role is clearly stated as 'Product Manager - Growth'. The requirement of 'at least 4 years of product management experience' indicates the minimum years of experience needed for the role.""
}
```",null,Globex International,Product Manager - Growth,4
zero_shot_prompt,j04,"```json
{
  ""company"": ""Initech"",
  ""role"": ""Lead DevOps Engineer"",
  ""years_experience_required"": 6
}
```",null,Initech,Lead DevOps Engineer,6
few_shot_prompt,j04,"{""company"": ""Initech"", ""role"": ""Lead DevOps Engineer"", ""years_experience_required"": 6}","{""company"": ""Initech"", ""role"": ""Lead DevOps Engineer"", ""years_experience_required"": 6}",Initech,Lead DevOps Engineer,6
structured_prompt,j04,"{
  ""company"": ""Initech"",
  ""role"": ""Lead DevOps Engineer"",
  ""years_experience_required"": 6
}","{""company"": ""Initech"", ""role"": ""Lead DevOps Engineer"", ""years_experience_required"": 6}",Initech,Lead DevOps Engineer,6
cot_prompt,j04,"```json
{
  ""company"": ""Initech"",
  ""role"": ""Lead DevOps Engineer"",
  ""years_experience_required"": 6,
  ""reasoning"": ""The job posting explicitly mentions that around 6 years of hands-on infrastructure work is expected, which directly indicates the required years of experience for the role.""
}
```",null,Initech,Lead DevOps Engineer,6
zero_shot_prompt,j05,"```json
{
  ""company"": ""Hooli"",
  ""role"": ""Junior Frontend Developer"",
  ""years_experience_required"": 0
}
```",null,Hooli,Junior Frontend Developer,0
few_shot_prompt,j05,"{""company"": ""Hooli"", ""role"": ""Junior Frontend Developer"", ""years_experience_required"": 0}","{""company"": ""Hooli"", ""role"": ""Junior Frontend Developer"", ""years_experience_required"": 0}",Hooli,Junior Frontend Developer,0
structured_prompt,j05,"{
  ""company"": ""Hooli"",
  ""role"": ""Junior Frontend Developer"",
  ""years_experience_required"": 0
}","{""company"": ""Hooli"", ""role"": ""Junior Frontend Developer"", ""years_experience_required"": 0}",Hooli,Junior Frontend Developer,0
cot_prompt,j05,"```json
{
  ""company"": ""Hooli"",
  ""role"": ""Junior Frontend Developer"",
  ""years_experience_required"": 0,
  ""reasoning"": ""The job posting explicitly states that fresh grads are welcome and that no prior experience is required, indicating that the minimum years of experience needed for this role is 0.""
}
```",null,Hooli,Junior Frontend Developer,0
zero_shot_prompt,j06,"```json
{
  ""company"": ""Pied Piper Inc."",
  ""role"": ""Senior ML Engineer"",
  ""years_experience_required"": ""7+ years""
}
```",null,Pied Piper Inc.,Senior ML Engineer,7+ years
few_shot_prompt,j06,"{""company"": ""Pied Piper Inc."", ""role"": ""Senior ML Engineer"", ""years_experience_required"": 7}","{""company"": ""Pied Piper Inc."", ""role"": ""Senior ML Engineer"", ""years_experience_required"": 7}",Pied Piper Inc.,Senior ML Engineer,7
structured_prompt,j06,"{
  ""company"": ""Pied Piper Inc."",
  ""role"": ""Senior ML Engineer"",
  ""years_experience_required"": 7
}","{""company"": ""Pied Piper Inc."", ""role"": ""Senior ML Engineer"", ""years_experience_required"": 7}",Pied Piper Inc.,Senior ML Engineer,7
cot_prompt,j06,"{
  ""company"": ""Pied Piper Inc."",
  ""role"": ""Senior ML Engineer"",
  ""years_experience_required"": 7,
  ""reasoning"": ""The job posting mentions 'typically look for 7+ years in production ML and distributed systems', which indicates a requirement of at least 7 years of experience, hence I extracted 7 as the minimum years of experience. The note about 'exceptional candidates with less are welcome' suggests flexibility, but the base requirement stands at 7 years.""
}","{""company"": ""Pied Piper Inc."", ""role"": ""Senior ML Engineer"", ""years_experience_required"": 7, ""reasoning"": ""The job posting mentions 'typically look for 7+ years in production ML and distributed systems', which indicates a requirement of at least 7 years of experience, hence I extracted 7 as the minimum years of experience. The note about 'exceptional candidates with less are welcome' suggests flexibility, but the base requirement stands at 7 years.""}",Pied Piper Inc.,Senior ML Engineer,7
zero_shot_prompt,j07,"```json
{
  ""company"": ""Soylent Industries"",
  ""role"": ""Engineering Manager"",
  ""years_experience_required"": 3
}
```",null,Soylent Industries,Engineering Manager,3
few_shot_prompt,j07,"{""company"": ""Soylent Industries"", ""role"": ""Engineering Manager"", ""years_experience_required"": 3}","{""company"": ""Soylent Industries"", ""role"": ""Engineering Manager"", ""years_experience_required"": 3}",Soylent Industries,Engineering Manager,3
structured_prompt,j07,"{
  ""company"": ""Soylent Industries"",
  ""role"": ""Engineering Manager"",
  ""years_experience_required"": 3
}","{""company"": ""Soylent Industries"", ""role"": ""Engineering Manager"", ""years_experience_required"": 3}",Soylent Industries,Engineering Manager,3
cot_prompt,j07,"```json
{
  ""company"": ""Soylent Industries"",
  ""role"": ""Engineering Manager"",
  ""years_experience_required"": 3,
  ""reasoning"": ""The job posting specifies 'about three years leading engineering teams', which translates to a required minimum of three years of experience in a leadership role. There is also a reference to a 'solid IC background', indicating that prior individual contributor experience is desirable but not quantified in years.""
}
```",null,Soylent Industries,Engineering Manager,3
zero_shot_prompt,j08,"```json
{
  ""company"": ""Wonka Confectionery Ltd."",
  ""role"": ""Senior UX Researcher"",
  ""years_experience_required"": 5
}
```",null,Wonka Confectionery Ltd.,Senior UX Researcher,5
few_shot_prompt,j08,"{""company"": ""Wonka Confectionery Ltd."", ""role"": ""Senior UX Researcher"", ""years_experience_required"": 5}","{""company"": ""Wonka Confectionery Ltd."", ""role"": ""Senior UX Researcher"", ""years_experience_required"": 5}",Wonka Confectionery Ltd.,Senior UX Researcher,5
structured_prompt,j08,"{
  ""company"": ""Wonka Confectionery Ltd."",
  ""role"": ""Senior UX Researcher"",
  ""years_experience_required"": 5
}","{""company"": ""Wonka Confectionery Ltd."", ""role"": ""Senior UX Researcher"", ""years_experience_required"": 5}",Wonka Confectionery Ltd.,Senior UX Researcher,5
cot_prompt,j08,"{
  ""company"": ""Wonka Confectionery Ltd."",
  ""role"": ""Senior UX Researcher"",
  ""years_experience_required"": 5,
  ""reasoning"": ""The job posting states 'Five years of UX research experience or equivalent portfolio required,' indicating that the minimum requirement for years of experience in UX research is 5.""
}","{""company"": ""Wonka Confectionery Ltd."", ""role"": ""Senior UX Researcher"", ""years_experience_required"": 5, ""reasoning"": ""The job posting states 'Five years of UX research experience or equivalent portfolio required,' indicating that the minimum requirement for years of experience in UX research is 5.""}",Wonka Confectionery Ltd.,Senior UX Researcher,5
zero_shot_prompt,j09,"```json
{
  ""company"": ""Stark Industries"",
  ""role"": ""Cybersecurity Analyst"",
  ""years_experience_required"": ""3-5 years""
}
```",null,Stark Industries,Cybersecurity Analyst,3-5 years
few_shot_prompt,j09,"{""company"": ""Stark Industries"", ""role"": ""Cybersecurity Analyst"", ""years_experience_required"": 3}","{""company"": ""Stark Industries"", ""role"": ""Cybersecurity Analyst"", ""years_experience_required"": 3}",Stark Industries,Cybersecurity Analyst,3
structured_prompt,j09,"{
  ""company"": ""Stark Industries"",
  ""role"": ""Cybersecurity Analyst"",
  ""years_experience_required"": 3
}","{""company"": ""Stark Industries"", ""role"": ""Cybersecurity Analyst"", ""years_experience_required"": 3}",Stark Industries,Cybersecurity Analyst,3
cot_prompt,j09,"```json
{
  ""company"": ""Stark Industries"",
  ""role"": ""Cybersecurity Analyst"",
  ""years_experience_required"": 3,
  ""reasoning"": ""The job posting specifies 'Three to five years in a SOC environment,' indicating a minimum of three years of experience is required.""
}
```",null,Stark Industries,Cybersecurity Analyst,3
zero_shot_prompt,j10,"```json
{
  ""company"": ""Cyberdyne Systems"",
  ""role"": ""AI/ML Research Scientist"",
  ""years_experience_required"": ""not specified""
}
```",null,Cyberdyne Systems,AI/ML Research Scientist,not specified
few_shot_prompt,j10,"{""company"": ""Cyberdyne Systems"", ""role"": ""AI/ML Research Scientist"", ""years_experience_required"": ""null""}","{""company"": ""Cyberdyne Systems"", ""role"": ""AI/ML Research Scientist"", ""years_experience_required"": ""null""}",Cyberdyne Systems,AI/ML Research Scientist,null
structured_prompt,j10,"{
  ""company"": ""Cyberdyne Systems"",
  ""role"": ""AI/ML Research Scientist"",
  ""years_experience_required"": null
}","{""company"": ""Cyberdyne Systems"", ""role"": ""AI/ML Research Scientist"", ""years_experience_required"": null}",Cyberdyne Systems,AI/ML Research Scientist,
cot_prompt,j10,"```json
{
  ""company"": ""Cyberdyne Systems"",
  ""role"": ""AI/ML Research Scientist"",
  ""years_experience_required"": 0,
  ""reasoning"": ""The job posting indicates that a PhD is preferred, and while a strong publication record is desired, there is no specific years of experience mentioned. Instead, the focus is on demonstrated impact, which suggests that experience could vary widely and is not quantifiable in years. Thus, the minimum years of experience is set to 0.""
}
```",null,Cyberdyne Systems,AI/ML Research Scientist,0
